"Листовые детали","","","","","","","","","","","","","",""
"№","Наименование","Код","A мм.","B мм.","a мм.","b мм.","Толщина мм.","Площадь кв.м.","Кромки","Сердцевина","Лицевая сторона","Тыльная сторона","Текстура","Кол."
"84","Н05-дно","Н05-02","540","484","540","484","16","0.26136"," Н Л В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Не определена","1"
"85","Н05-полка","Н05-01","530","450","530","450","16","0.2385"," Н Л В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","2"
"86","Н05-стоевая","Н05-03","704","540","704","540","16","0.38016"," Н В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"87","Н05-стоевая","Н05-03","704","540","704","540","16","0.38016"," Н В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"88","Н05-фасад","Н05-06","496","716","496","716","16","0.35514","Нет","Дуб тёмный","Без облицовки","Без облицовки","Поперёк","1"
"89","Н05-фасад","Н05-07","550","720","550","720","16","0.396","Нет","Дуб тёмный","Без облицовки","Без облицовки","Поперёк","1"
"90","Н05-хдф","Н05-05","716","480","716","480","3","0.34368","Нет","ХДФ","Без облицовки","Без облицовки","Вдоль","1"
"91","Н05-царга","Н05-04","452","100","452","100","16","0.0452"," Н В ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","2"
"92","н_царга","03","2620","600","2620","600","38","1.572","Нет","столешка 38","Без облицовки","Без облицовки","Вдоль","1"
"93","полка","00","200","378","200","378","16","0.0756"," Н П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Не определена","1"
"94","полка","00","400","200","400","200","16","0.08"," Л В ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Не определена","1"
"95","полка-Р","50","2600","600","2600","600","6","1.56","Нет","Albico(SP 012)","Без облицовки","Без облицовки","Вдоль","1"
"96","полки ","00","428","270","428","270","16","0.11556"," Н Л В П ","ЛДСП 16 Белый 1850 1,83х2,75 Ш (40)","Без облицовки","Без облицовки","Не определена","4"
"97","столешка","03","420","608","420","608","38","0.25536","Нет","столешка 38","Без облицовки","Без облицовки","Поперёк","1"
"Расход материала","","","","","","","","","","","","","",""
"№","Материал","Код","Толщина мм.","Расход кв.м.","Примечание","","","","","","","","",""
"1","Albico(SP 012)","","6","1.56","","","","","","","","","",""
"2","Белый 5000B","","20","2.8469","","","","","","","","","",""
"3","Дуб тёмный","","16","1.90636","","","","","","","","","",""
"4","ЛДСП 16 Белый 1850 1,83х2,75 Ш (40)","","16","7.79874","","","","","","","","","",""
"5","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","","16","7.96864","","","","","","","","","",""
"6","ХДФ","","3","2.59355","","","","","","","","","",""
